[2026-07-17 15:37:33] Starting MCP stdio server loop
[2026-07-17 15:37:33] HTTP server started on port 5000
[2026-07-17 15:37:49] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:37:49] "POST /v1/traces HTTP/1.1" 200 -
[2026-07-17 15:37:49] "POST /v1/traces HTTP/1.1" 200 -
[2026-07-17 15:37:49] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:37:50] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:37:50] Starting MCP stdio server loop
[2026-07-17 15:37:50] Received MCP request: method=initialize, id=1
[2026-07-17 15:37:50] Received MCP request: method=notifications/initialized, id=None
[2026-07-17 15:37:50] MCP Initialization Completed by Client
[2026-07-17 15:37:50] Received MCP request: method=tools/call, id=2
[2026-07-17 15:37:50] MCP tool signoz_fetch_trace called for trace_id=1f5fe7cd715eded5de46de8710db7508
[2026-07-17 15:37:50] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:37:52] "POST /api/v1/history HTTP/1.1" 200 -
[2026-07-17 15:37:53] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:37:53] "POST /v1/traces HTTP/1.1" 200 -
[2026-07-17 15:37:53] "POST /v1/traces HTTP/1.1" 200 -
[2026-07-17 15:37:53] "POST /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:37:56] "GET /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:37:56] "GET /api/v1/history HTTP/1.1" 200 -
[2026-07-17 15:38:17] "GET / HTTP/1.1" 200 -
[2026-07-17 15:38:17] "GET /style.css HTTP/1.1" 200 -
[2026-07-17 15:38:17] "GET /app.js HTTP/1.1" 200 -
[2026-07-17 15:38:17] "GET /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:38:17] "GET /api/v1/spans HTTP/1.1" 200 -
[2026-07-17 15:38:17] "GET /api/v1/history HTTP/1.1" 200 -
[2026-07-17 15:38:18] "GET /favicon.ico HTTP/1.1" 404 -
[2026-07-17 15:38:18] "GET /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:38:19] "GET /api/v1/spans HTTP/1.1" 200 -
[2026-07-17 15:38:19] "GET /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:38:19] "GET /api/v1/history HTTP/1.1" 200 -
[2026-07-17 15:38:20] "GET /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:38:20] "GET /api/v1/spans HTTP/1.1" 200 -
[2026-07-17 15:38:21] "GET /api/v1/status HTTP/1.1" 200 -
[2026-07-17 15:38:21] "GET /api/v1/history HTTP/1.1" 200 -
[2026-07-17 15:38:22] "GET /api/v1/spans HTTP/1.1" 200 -
